"years","description_percentage_22","description_percentage_25"
"1950","33.48","33.47"
"1951","21.8","21.74"
"1952","35.43","35.46"
"1953","36.74","36.71"
"1954","36.65","36.65"
"1955","37.2","37.15"
"1956","37.97","38.0"
"1957","38.06","38.04"
"1958","30.83","30.79"
"1959","22.88","22.93"
"1960","27.61","27.63"
"1961","28.76","28.82"
"1962","31.42","31.52"
"1963","33.29","33.35"
"1964","33.96","33.99"
"1965","34.77","34.83"
"1966","35.76","35.91"
"1967","36.27","36.42"
"1968","36.9","37.06"
"1969","36.89","37.07"
"1970","36.56","36.71"
"1971","37.7","37.9"
"1972","38.16","38.36"
"1973","38.16","38.44"
"1974","38.67","38.96"
"1975","39.12","39.42"
"1976","39.44","39.77"
"1977","39.93","40.33"
"1978","40.02","40.45"
"1979","40.72","41.21"
"1980","40.15","40.62"
"1981","41.37","41.96"
"1982","41.44","42.04"
"1983","41.87","42.55"
"1984","42.14","42.9"
"1985","42.07","42.83"
"1986","42.3","43.09"
"1987","42.56","43.43"
"1988","42.87","43.77"
"1989","42.91","43.86"
"1990","42.39","43.31"
"1991","43.64","44.69"
"1992","43.82","44.92"
"1993","44.57","45.79"
"1994","44.74","46.02"
"1995","44.92","46.24"
"1996","45.42","46.85"
"1997","45.9","47.42"
"1998","45.82","47.33"
"1999","46.09","47.69"
"2000","45.29","46.83"
"2001","46.66","48.22"
"2002","47.24","48.82"
"2003","47.85","49.46"
"2004","48.11","49.75"
"2005","48.27","49.89"
"2006","48.81","50.44"
"2007","49.04","50.62"
"2008","49.52","51.04"
"2009","50.0","51.47"
"2010","49.59","51.09"
"2011","49.87","51.37"
"2012","49.87","51.37"
"2013","49.73","51.3"
"2014","49.18","50.85"
"2015","48.4","50.2"
"2016","45.41","47.4"
"2017","40.95","43.13"
"2018","38.09","40.59"
"2019","35.23","38.31"
"2020","31.54","35.73"
"2021","23.73","31.04"
"2022","14.84","26.59"
