"start_years","AI_22","AI_25"
"2000","5182","5710"
"2001","4358","4813"
"2002","3913","4327"
"2003","4443","4948"
"2004","5710","6387"
"2005","6909","7822"
"2006","9020","10117"
"2007","10591","11926"
"2008","11483","12765"
"2009","10036","11277"
"2010","14735","16593"
"2011","17219","19582"
"2012","21024","23961"
"2013","26454","30213"
"2014","36103","41726"
"2015","48225","55935"
"2016","68239","78629"
"2017","84687","98259"
"2018","102849","120345"
"2019","101852","122200"
"2020","76696","97546"
"2021","56708","91010"
"2022","8319","24078"
