"start_years","AI_22","AI_25"
"2000","0.0822","0.0902"
"2001","0.0792","0.087"
"2002","0.0762","0.0836"
"2003","0.0774","0.0858"
"2004","0.0824","0.0915"
"2005","0.0818","0.0918"
"2006","0.0953","0.1061"
"2007","0.0996","0.1113"
"2008","0.1049","0.1159"
"2009","0.1012","0.1128"
"2010","0.1174","0.1309"
"2011","0.1227","0.1381"
"2012","0.1359","0.1533"
"2013","0.1626","0.1838"
"2014","0.2095","0.2395"
"2015","0.2735","0.3133"
"2016","0.3996","0.4541"
"2017","0.4998","0.5685"
"2018","0.6062","0.6912"
"2019","0.6482","0.7528"
"2020","0.6771","0.8204"
"2021","0.5653","0.8085"
"2022","0.4253","0.9005"
