"start_years","AI_22","AI_25"
"2000","5067","5567"
"2001","4247","4667"
"2002","3911","4297"
"2003","4398","4877"
"2004","5658","6315"
"2005","6951","7777"
"2006","9088","10116"
"2007","10663","11915"
"2008","11605","12850"
"2009","10238","11430"
"2010","15124","16874"
"2011","17686","19935"
"2012","21399","24177"
"2013","27013","30555"
"2014","36660","41985"
"2015","48883","56140"
"2016","67449","77125"
"2017","87500","99918"
"2018","108834","124518"
"2019","111138","129572"
"2020","87489","106490"
"2021","70898","102229"
"2022","12668","27173"
