"start_years","AI_22","AI_25"
"2000","325","325"
"2001","278","278"
"2002","312","312"
"2003","286","286"
"2004","464","464"
"2005","529","529"
"2006","666","666"
"2007","750","750"
"2008","947","947"
"2009","910","910"
"2010","1434","1434"
"2011","1701","1701"
"2012","1975","1975"
"2013","2626","2626"
"2014","3668","3668"
"2015","5566","5566"
"2016","9133","9133"
"2017","15191","15191"
"2018","22359","22359"
"2019","25910","25910"
"2020","23834","23834"
"2021","24347","24347"
"2022","5961","5961"
