"years","description_percentage"
"1950","31"
"1951","14"
"1952","31"
"1953","33"
"1954","33"
"1955","33"
"1956","34"
"1957","34"
"1958","27"
"1959","20"
"1960","25"
"1961","26"
"1962","28"
"1963","30"
"1964","31"
"1965","32"
"1966","33"
"1967","34"
"1968","34"
"1969","35"
"1970","34"
"1971","36"
"1972","36"
"1973","36"
"1974","37"
"1975","37"
"1976","38"
"1977","38"
"1978","38"
"1979","39"
"1980","38"
"1981","39"
"1982","39"
"1983","40"
"1984","40"
"1985","40"
"1986","40"
"1987","41"
"1988","41"
"1989","41"
"1990","40"
"1991","42"
"1992","42"
"1993","42"
"1994","43"
"1995","43"
"1996","43"
"1997","44"
"1998","44"
"1999","44"
"2000","43"
"2001","45"
"2002","45"
"2003","46"
"2004","46"
"2005","46"
"2006","47"
"2007","47"
"2008","48"
"2009","48"
"2010","47"
"2011","48"
"2012","48"
"2013","48"
"2014","47"
"2015","47"
"2016","45"
"2017","41"
"2018","39"
"2019","38"
"2020","37"
"2021","34"
"2022","32"
"2023","30"
"2024","26"
"2025","19"
,"0"
