"years","total_22","total_25"
"1950","12363","12363"
"1951","15631","15631"
"1952","11531","11531"
"1953","12257","12257"
"1954","14208","14208"
"1955","19409","19409"
"1956","22329","22329"
"1957","23676","23676"
"1958","37410","37410"
"1959","59605","59605"
"1960","86389","86389"
"1961","67983","67983"
"1962","79747","79747"
"1963","85472","85472"
"1964","103390","103390"
"1965","136748","136748"
"1966","151443","151443"
"1967","171762","171762"
"1968","223130","223130"
"1969","265223","265223"
"1970","366675","366675"
"1971","311172","311172"
"1972","446512","446512"
"1973","511683","511683"
"1974","606749","606749"
"1975","639559","639559"
"1976","777362","777362"
"1977","889181","889181"
"1978","1166823","1166823"
"1979","1307824","1307824"
"1980","1804379","1804379"
"1981","1550962","1550962"
"1982","1661658","1661658"
"1983","1834978","1834978"
"1984","2328811","2328811"
"1985","2840294","2840294"
"1986","3050935","3050935"
"1987","3355329","3355329"
"1988","3773950","3773950"
"1989","4461506","4461506"
"1990","5280946","5280946"
"1991","4468687","4468687"
"1992","5041327","5041327"
"1993","5306298","5306298"
"1994","6521642","6521642"
"1995","7988956","7988956"
"1996","9028279","9028279"
"1997","10407803","10407803"
"1998","12297525","12297525"
"1999","13262912","13262912"
"2000","18057983","18057983"
"2001","16179623","16179623"
"2002","15821803","15821803"
"2003","17680211","17680211"
"2004","21669647","21669647"
"2005","26399777","26399777"
"2006","30723082","30723082"
"2007","35896483","35896483"
"2008","38787960","38787960"
"2009","35991023","35991023"
"2010","47412518","47412518"
"2011","52904928","52904928"
"2012","57126568","57126568"
"2013","59595626","59595626"
"2014","63578251","63578251"
"2015","65804711","65804711"
"2016","65593629","65593629"
"2017","67636363","67636363"
"2018","70120822","70120822"
"2019","67190042","67190042"
"2020","49231522","49231522"
"2021","48334495","48334495"
"2022","10285774","10285774"
